MomLeg1[1],MomLeg2[1],ATRLeg1[1],ATRLeg2[1],Correlation,Duration,Type,MAE_leg1,MFE_leg1,Profit_leg1,MAE_leg2,MFE_leg2,Profit_leg2,Total_MAE,Total_MFE,Total_Profit,Profit
23.17552333,63.72277463,0.002021,0.001547,-0.247728791,64800,0,-302.49,0,-240.28,-9.33,104.13,76.33,-198.36,12.73,-163.95,0
23.16522812,61.24854392,0.002105,0.0019495,0.315574918,21600,0,-59.92,0,69.31,-9.94,80.12,-52.17,-19.58,53.12,17.14,1
20.93681118,60.36077199,0.0015415,0.0015745,-0.770178888,25200,0,-20.47,96.63,13.31,-117.28,16.94,-2.37,-42.51,28.78,10.94,1
18.05711745,54.23963545,0.0016835,0.0019065,0.904283961,237600,0,-152.1,21.44,-104.1,-73.86,66.13,21.54,-150.01,0,-82.56,0
26.86057751,80.89165955,0.0016975,0.0013495,0.796922939,14400,0,-96.99,0,-84.78,-20.02,146.34,94.92,-37.2,50.11,10.14,1
29.36255187,66.2839015,0.0015965,0.001778,-0.361287891,57600,0,-113.26,0,-115.84,-9.02,138.41,118.54,-19.69,30.31,2.7,1
41.34491159,79.45804093,0.001596,0.001384,-0.480335529,10800,0,-43.91,0,11.31,-18.43,22.87,-22.31,-26.98,0,-11,0
72.35131794,35.72866225,0.001945,0.00195,0.892538768,39600,1,-25.24,23.22,39.09,-47.77,8.05,-9.26,-38.16,4.68,29.83,1
35.65961503,72.1572354,0.001774,0.001676,-0.627788727,334800,0,-31.17,71.74,75.02,-206.99,9.31,-173.08,-192.14,12.16,-98.06,0
34.83202635,78.9293932,0.0019345,0.0017575,0.817641099,212400,0,-41.32,12.76,21.11,-51.27,0,-17.63,-77.86,0,3.48,1
82.22640787,42.06230569,0.0017475,0.001484,0.959354789,21600,1,-30.9,33.41,17.05,-52.67,99.73,63.74,-29.05,71.91,80.79,1
66.05803687,30.31005156,0.002107,0.0016455,-0.351987358,39600,1,-77.09,0,1.24,-80.13,44.04,-288.89,-93.89,0,-287.65,0
38.52936081,76.90129951,0.0018765,0.0015635,0.684156584,93600,0,-238.08,0,-216.9,-66.34,83.46,83.96,-219.77,0,-132.94,0
70.13884683,34.04741663,0.00187,0.001679,0.186913914,72000,1,-70.52,30.34,39.66,-51.27,39.82,-45.9,-89.49,42.91,-6.24,0
68.1709713,17.39300176,0.0016155,0.0011875,0.333213609,25200,1,-55.57,0,-45.14,-11.53,99.94,111.68,-20.99,45,66.54,1
35.57532066,72.39858834,0.001748,0.001949,-0.639806298,72000,0,-42.53,73.97,136.41,-136.11,47.25,-126.03,-130.63,4.72,10.38,1
67.97038566,22.95491503,0.001769,0.0017725,-0.636797136,61200,1,-76.77,0,-14.77,-57.67,0,-35.17,-133.23,0,-49.94,0
30.04376538,69.69373703,0.0016865,0.0016145,-0.538430644,25200,0,-81.45,0,-62.44,-7.17,65.89,71.16,-34.07,0,8.72,1
60.14015236,22.03041285,0.002067,0.0018885,0.480517132,46800,1,-62.3,0,-30.15,-27.92,54.51,-36.56,-43.58,11.56,-66.71,0
43.51056908,79.07834866,0.001913,0.0016885,-0.05392986,32400,0,-90.42,0,22.84,-7.78,44.34,28.27,-55.4,2.54,51.11,1
22.75993876,59.79854517,0.0016375,0.001481,-0.053182893,187200,0,-32.24,71.72,85.51,-43.04,17.66,-132.25,-44.09,89.38,-46.74,0
51.0488333,86.1610567,0.0019445,0.002146,0.263544526,28800,0,-96.14,0,-14.19,-10.14,77.31,34.02,-96.05,0,19.83,1
21.78585526,62.52365007,0.001484,0.0011475,0.725795649,50400,0,-78.96,0,-57.41,-8.92,73.43,62.74,-22.93,6.35,5.33,1
74.04834584,37.62733098,0.00178,0.001526,-0.003427523,82800,1,-86.11,0,15.25,-155.64,9.01,-121.3,-202.86,0,-106.05,0
28.20407569,68.26466269,0.0015255,0.001645,-0.367242492,46800,0,-88.7,32.61,-69.03,-49.24,99.76,84.49,-34.72,28.96,15.46,1
18.31198501,53.98532251,0.0014425,0.0013065,-0.618112203,21600,0,-109.91,27.52,-67.13,-34.9,146.98,106.59,-17.47,37.07,39.46,1
25.92050602,64.76627673,0.001372,0.0013675,0.605715751,18000,0,-9.58,48.4,114.11,-57.1,0,-129.32,-31.06,16.2,-15.21,0
70.8346788,34.02070161,0.001315,0.001493,-0.108211474,36000,1,-30.72,21.05,71.71,-65.5,0,-54.92,-62.14,6.61,16.79,1
46.88619928,82.98418277,0.001664,0.001624,-0.376089318,32400,0,-53.76,6.3,30.93,-36.71,18.6,-24.67,-72.56,0,6.26,1
82.09627387,44.11566883,0.001352,0.0012535,-0.693980869,352800,1,-61.22,120.47,-63.89,-231.33,0,-139.99,-220,0,-203.88,0
76.64030887,39.23692789,0.0014185,0.001371,0.87757745,54000,1,-44.97,2.91,-6.64,-9.16,65.2,55.68,-18.92,44.68,49.04,1
76.29273665,36.82889891,0.001945,0.001957,0.358170809,61200,1,-133.12,0,-94.56,-43.01,26.93,16.64,-112.5,0,-77.92,0
37.15586556,74.19952434,0.0018175,0.001571,-0.870146003,14400,0,-27.06,0,41.38,-9.99,35.61,-5.59,-19.18,8.55,35.79,1
18.67287539,54.21357666,0.001522,0.0014455,0.851164154,50400,0,-44.08,29.88,39.26,-113.38,0,-85.38,-97.74,0,-46.12,0
82.26461591,45.51490588,0.0015485,0.0012885,-0.420514099,18000,1,-62.46,0,-27.61,-8.53,111.29,90.37,-16.7,58.18,62.76,1
75.12980153,18.9190628,0.0016345,0.0013295,-0.225959579,241200,1,-189.33,0,-31.36,-79.57,76.92,-85.35,-193.97,0,-116.71,0
35.47527344,74.46712242,0.0016155,0.001633,-0.841848515,273600,0,-49.57,71.8,73.9,-192.15,0,-182.63,-153.11,0,-108.73,0
34.58056963,71.13421088,0.0015035,0.0018425,0.364605451,25200,0,-71.41,8.31,1.29,-24.59,35.05,14.47,-36.36,0,15.76,1
29.2406325,73.0364895,0.001515,0.0013925,-0.621286078,28800,0,-8.38,25.16,19.08,-87.3,4.87,-1.77,-62.14,5.58,17.31,1
67.48441204,31.0308242,0.001441,0.001581,0.512242155,154800,1,-77.72,0,-40.59,-1.21,107.49,64.31,-8.74,37.44,23.72,1
37.32010526,73.53850799,0.0017595,0.0014755,-0.555320761,7200,0,-100.42,0,-19.46,-8.45,82.65,19.36,-19.01,0,-0.1,0
26.54658544,62.11175604,0.002403,0.0016475,0.775945282,10800,0,-114.73,0,-57.41,-10.19,115.89,84.41,-20.52,27.46,27,1
31.86796228,68.75760299,0.001754,0.0017015,0.074051969,50400,0,-50.93,40.38,62.1,-118.81,12.24,-120.1,-102.64,0,-58,0
30.58514062,68.26791518,0.002512,0.001862,0.380357348,219600,0,-96.49,25.34,19.78,-79.14,96.19,-88.4,-146.51,0,-68.62,0
20.27514222,59.89853823,0.0018385,0.0017575,0.109252494,72000,0,-60.64,32.27,-10.44,-50.65,27.95,-7.93,-78.02,0,-18.37,0
17.59835846,53.15042873,0.0016385,0.001416,0.173782251,50400,0,-1.65,66.15,35.51,-86.89,47.09,-4.71,-20.74,56.17,30.8,1
29.53725948,68.76103163,0.0018915,0.0019255,0.012398598,28800,0,-77.79,0,-47.27,-2.34,59.19,51.4,-25.97,0,4.13,1
63.28447985,26.98601997,0.0017165,0.0015615,-0.538679764,10800,1,-32.26,0,71.07,-3.9,32.3,-39.61,-6.81,27.3,31.46,1
80.64777097,39.54562499,0.001815,0.001604,0.137189346,172800,1,-327.69,56.19,-88.34,-81.61,86.53,-242.37,-341.44,0,-330.71,0
78.25611808,36.47808293,0.002095,0.0014975,0.202868413,86400,1,-134.13,26.1,-22.41,-126.6,38.14,-58.24,-147.66,32.49,-80.65,0
75.80235086,38.80477183,0.0026915,0.0018535,-0.455638172,298800,1,-119.06,53.3,-87.17,-130,78.38,41.85,-171.26,78.39,-45.32,0
69.65036689,33.52257483,0.002264,0.0016735,-0.279169492,18000,1,-86.47,0,-54.25,-2.65,96.29,92.72,-49.07,9.82,38.47,1
68.54527712,28.49364436,0.00261,0.001846,0.551763939,3600,1,-0.96,0,108.77,-2.97,0,-131.24,-3.93,0,-22.47,0
